namirnica,kcal_100g,protein_100g,mast_100g,uh_100g,izvor
Avokado,223,0,20.3,8.32,USDA
Bademi,626,0,51,20,USDA
Banana,100,0,0,23,USDA
Borovnice,65,0,0,14,USDA
Cvekla sveža,45,0,0,8,USDA
Dvopek,379,0,2.3,77,Proizvod
Grčki tip jogurta 10% m.m.,115,4,9.9,3.5,Proizvod
Grčki jogurt (Olympus) 2% m.m.,73,9.7,2,3.9,Proizvod
Jabuka,60,0,0,14,USDA
Jaja,150,12.3,10.3,0,USDA
Jaja belanca,48,10,0,0,USDA
Kikiriki puter,647,0,58.9,15.7,Proizvod
Kupus kiseo,20,0,0,4,USDA
Kupus svež,30,0,0,6,USDA
Lešnici,640,0,53,26,USDA
Losos,197,20,13,0,USDA
Maslinovo ulje,828,0,92,0,Proizvod
Med,300,0,0,82,USDA
Milky sir (meki),77,14,10,3,Proizvod
Mleko 1.5%,50,3,2,4.5,USDA
Mleko 2.8%,55,3,2.8,4.5,USDA
Mlevena junetina (posnija),190,18.2,12.8,0,USDA
Mlevena junetina (standard),250,17.5,19.4,0,USDA
Ovsene pahuljice,329,0,2.4,60,Proizvod
Orasi,640,0,69,11,USDA
Pasirani paradajz,25,0,0,5,Proizvod
Pileća prsa bez kože (sveza),120,22.5,2,0,USDA
Pileće butkice bez kože (sveze),180,20,10,0,USDA
Pirinač kuvani,359,0,0,80,USDA
Pšenični griz,354,0,0,77,USDA
Sardine u sopstvenom soku,143,20,4,0,Proizvod
Svinjska mast,900,0,100,0,USDA
Sargarepa,43,0,0,10,USDA
Testenina (suva),352,0,1.1,75.5,Proizvod
Tikvice,20,0,0,4,USDA
Tunjevina u vodi,91,21.2,0,0,Proizvod
Tortilja pšenična,309,0,7.6,53,Proizvod
Krastavci kiseli,10,0,0,2,USDA
Whey protein,377,75,5.6,6.6,Proizvod
Maslac,750,0,82,0,Proizvod
Nektarine,43,0,0,9.4,USDA
Kackavalj,339,27.8,25,0,Proizvoc
Orah,730,0,70,10,USDA
Krompir,72,0,0,16,USDA
Piletina (kuvana),166,32,3,0,USDA
Beli Hleb kupljeni,270,0,3,50,USDA
Grozdje,86,0,0,20,USDA
Sladoled King (Obsesion),420,4,28,37,Proizvod
Paradaiz svez,30,0,0,5.5,USDA
Jogurt,60,3,3,5,Proizvod
Kikiriki przeni (Gud),607,0,50,10,Proizvod
Fileti Haringe (konzerva),94,5.8,6.7,2.3,Proizvod
Plazma keks,443,0,12,70,Proizvod
Kruska,65,0,0,15,USDA
Pivo,50,0,0,3.5,Proizvod
